n,dist,rho,sk,alpha_F
250,beta,-1,1,42.91617903036587
250,beta,-1,1,42.09664205602967
250,beta,-1,1,44.572243547878266
250,beta,-1,1,43.89590501865231
250,beta,-1,1,42.254336151943065
250,beta,-1,1,45.520013195071535
250,beta,-1,1,50.74013928886983
250,beta,-1,1,44.74523482249883
250,beta,-1,1,47.74866876519876
250,beta,-1,1,35.30978465395737
250,beta,-1,1,50.27252076873621
250,beta,-1,1,45.53270179164098
250,beta,-1,1,37.914790377148265
250,beta,-1,1,37.43410437645795
250,beta,-1,1,48.66231778325352
250,beta,-1,1,42.78374168676948
250,beta,-1,1,45.28061262558323
250,beta,-1,1,49.451957931631426
250,beta,-1,1,38.1201330678611
250,beta,-1,1,41.62594024218192
250,beta,-1,1,38.68595792980569
250,beta,-1,1,52.73737579818385
250,beta,-1,1,38.78449715306694
250,beta,-1,1,59.664538514688815
250,beta,-1,1,39.57307541684848
250,beta,-1,1,40.368783236960596
250,beta,-1,1,33.65822463643381
250,beta,-1,1,31.699344802684248
250,beta,-1,1,42.412608678244375
250,beta,-1,1,41.96125801017715
250,beta,-1,1,52.560546901182576
250,beta,-1,1,38.77051156180721
250,beta,-1,1,32.40400769679682
250,beta,-1,1,35.35417938481784
250,beta,-1,1,45.72318546079426
250,beta,-1,1,45.89859831901782
250,beta,-1,1,42.70003855076796
250,beta,-1,1,39.95441657014489
250,beta,-1,1,38.503020806046834
250,beta,-1,1,47.79526312658069
250,beta,-1,1,38.69416697355298
250,beta,-1,1,36.177349456837185
250,beta,-1,1,37.841953481966776
250,beta,-1,1,37.49088455139251
250,beta,-1,1,38.63286507730335
250,beta,-1,1,33.72328073338743
250,beta,-1,1,34.126259038158025
250,beta,-1,1,41.93180446082699
250,beta,-1,1,38.33663171009158
250,beta,-1,1,36.74390506951919
250,beta,-1,1,43.774910388807534
250,beta,-1,1,37.12279909812993
250,beta,-1,1,49.420105327447665
250,beta,-1,1,38.99215539340672
250,beta,-1,1,41.83978200229692
250,beta,-1,1,45.32676946587498
250,beta,-1,1,34.310446410663324
250,beta,-1,1,37.2139635138097
250,beta,-1,1,48.33044815410494
250,beta,-1,1,39.544344384341535
250,beta,-1,1,45.0397660813559
250,beta,-1,1,43.17284258936953
250,beta,-1,1,31.49565321148432
250,beta,-1,1,49.897940076894216
250,beta,-1,1,40.217101964988636
250,beta,-1,1,45.84701506065038
250,beta,-1,1,37.98252392902643
250,beta,-1,1,45.9368792228598
250,beta,-1,1,30.94506667320801
250,beta,-1,1,45.457085224557446
250,beta,-1,1,35.53398791859872
250,beta,-1,1,40.54746003771252
250,beta,-1,1,34.623524653038274
250,beta,-1,1,49.10789469082071
250,beta,-1,1,37.268010267939815
250,beta,-1,1,43.64002421539359
250,beta,-1,1,40.64267927622524
250,beta,-1,1,51.95263046275911
250,beta,-1,1,39.94409507313827
250,beta,-1,1,43.57789305283274
250,beta,-1,1,49.34095546026916
250,beta,-1,1,37.03849136972979
250,beta,-1,1,51.94050015108226
250,beta,-1,1,60.68095248067586
250,beta,-1,1,43.4073722021532
250,beta,-1,1,36.59741651540194
250,beta,-1,1,53.385263289167796
250,beta,-1,1,40.13709477376881
250,beta,-1,1,39.80125147815205
250,beta,-1,1,35.53906767627457
250,beta,-1,1,54.139270968270274
