n,dist,rho,sk,alpha_F
250,discrete,1,1,47.95598663360877
250,discrete,1,1,44.97294918517397
250,discrete,1,1,45.01972500181796
250,discrete,1,1,52.974268563933265
250,discrete,1,1,52.274733817251125
250,discrete,1,1,59.83933856350422
250,discrete,1,1,47.52440762666404
250,discrete,1,1,53.44902021131312
250,discrete,1,1,55.29259587063934
250,discrete,1,1,49.09258085282079
250,discrete,1,1,54.0441186127
250,discrete,1,1,45.80289279637984
250,discrete,1,1,55.62801254645767
250,discrete,1,1,51.072419873880165
250,discrete,1,1,45.61379405630612
250,discrete,1,1,51.5440693776854
250,discrete,1,1,50.38978569418026
250,discrete,1,1,52.11239493295434
250,discrete,1,1,48.77980754689748
250,discrete,1,1,49.41815396985715
250,discrete,1,1,48.84199608437417
250,discrete,1,1,45.845084551927435
250,discrete,1,1,43.08205454988462
250,discrete,1,1,58.76984820544402
250,discrete,1,1,59.03399660025387
250,discrete,1,1,55.541972170796846
250,discrete,1,1,58.005172746560184
250,discrete,1,1,53.17751685216869
250,discrete,1,1,48.571741360115105
250,discrete,1,1,49.899616340741126
250,discrete,1,1,46.84974093519826
250,discrete,1,1,49.673602483614175
250,discrete,1,1,57.613299584372555
250,discrete,1,1,47.92085906899222
250,discrete,1,1,45.68478219807603
250,discrete,1,1,58.02772187786466
250,discrete,1,1,52.19216699287575
250,discrete,1,1,68.09454997774459
250,discrete,1,1,48.422072629918816
250,discrete,1,1,47.10030175650219
250,discrete,1,1,55.32264471233494
250,discrete,1,1,44.96073923942814
250,discrete,1,1,42.7520228380219
250,discrete,1,1,51.48987871019684
250,discrete,1,1,51.05523374368959
250,discrete,1,1,59.1626332731724
250,discrete,1,1,53.457237161794005
250,discrete,1,1,51.785750179911624
250,discrete,1,1,50.39962308539778
250,discrete,1,1,57.48440296645065
250,discrete,1,1,44.98153731908252
250,discrete,1,1,50.69203461528507
250,discrete,1,1,50.171259115736454
250,discrete,1,1,49.400318782339646
250,discrete,1,1,46.689578912241245
250,discrete,1,1,47.35417887679818
250,discrete,1,1,50.22490295629144
250,discrete,1,1,60.12447398993575
250,discrete,1,1,48.396973954351346
250,discrete,1,1,56.982145605243886
250,discrete,1,1,58.202342059323435
250,discrete,1,1,53.278236013088886
250,discrete,1,1,54.634089177367926
250,discrete,1,1,75.92891432295893
250,discrete,1,1,47.997491842041015
250,discrete,1,1,49.37746332034809
250,discrete,1,1,62.36681837562667
250,discrete,1,1,52.291429255524044
250,discrete,1,1,47.365809522012626
250,discrete,1,1,43.91167784770509
250,discrete,1,1,53.48410116476709
250,discrete,1,1,46.22626189779284
250,discrete,1,1,45.253730231649165
250,discrete,1,1,52.446796716410205
250,discrete,1,1,61.121301477066126
250,discrete,1,1,58.102943423304076
250,discrete,1,1,48.86643557963331
250,discrete,1,1,57.0112731724759
250,discrete,1,1,56.82781298815759
250,discrete,1,1,52.43078210457607
250,discrete,1,1,57.70284860480866
250,discrete,1,1,47.28261636084526
250,discrete,1,1,52.32584936339188
250,discrete,1,1,55.830660559685775
250,discrete,1,1,54.09506702933162
250,discrete,1,1,65.24275197199762
250,discrete,1,1,59.7625662657368
250,discrete,1,1,62.858340145028976
250,discrete,1,1,44.95247537990165
250,discrete,1,1,55.0033059067755
250,discrete,1,1,46.200923643475036
250,discrete,1,1,58.51173374761578
250,discrete,1,1,51.95156836216815
250,discrete,1,1,57.37605278987398
250,discrete,1,1,54.358822969740515
250,discrete,1,1,54.46944022315138
