n,dist,rho,sk,alpha_F
250,normal,0,0,46.052388868931864
250,normal,0,0,39.008325648268105
250,normal,0,0,48.85359826349526
250,normal,0,0,51.388372231619904
250,normal,0,0,41.24438343337092
250,normal,0,0,48.5686979179975
250,normal,0,0,45.85305698182759
250,normal,0,0,52.88724472597251
250,normal,0,0,41.21085575163389
250,normal,0,0,58.055558974793584
250,normal,0,0,42.29352335448871
250,normal,0,0,49.4729629911931
250,normal,0,0,49.991261763964395
250,normal,0,0,48.032345730765954
250,normal,0,0,55.79059810522842
250,normal,0,0,40.584966888999475
250,normal,0,0,53.45028906412464
250,normal,0,0,43.383628313403705
250,normal,0,0,50.024563387536695
250,normal,0,0,47.995310304938954
250,normal,0,0,40.71615960138286
250,normal,0,0,51.491984911199175
250,normal,0,0,49.07841740048348
250,normal,0,0,48.91679492022044
250,normal,0,0,42.421031046588645
250,normal,0,0,44.4310160713717
250,normal,0,0,48.02539055607597
250,normal,0,0,50.85333326174815
250,normal,0,0,60.18613447834092
250,normal,0,0,62.97028019705627
250,normal,0,0,54.505282655046244
250,normal,0,0,52.66762797075213
250,normal,0,0,50.367730015626094
250,normal,0,0,46.4277696104901
250,normal,0,0,46.75336087540085
250,normal,0,0,44.1826520505132
250,normal,0,0,40.56115081053424
250,normal,0,0,55.74464300027128
250,normal,0,0,48.54926236374674
250,normal,0,0,43.427440800018815
250,normal,0,0,44.717992095787544
250,normal,0,0,44.45168906472607
250,normal,0,0,40.95840261005537
250,normal,0,0,47.462344977747804
250,normal,0,0,39.678745418429266
250,normal,0,0,51.136918954476094
250,normal,0,0,49.185113569877394
250,normal,0,0,52.03524806473333
250,normal,0,0,44.057036007132915
250,normal,0,0,49.8123393465335
250,normal,0,0,43.90502313642679
250,normal,0,0,40.795751280513585
250,normal,0,0,41.70646985947341
250,normal,0,0,44.81221706842239
250,normal,0,0,46.65383490699186
250,normal,0,0,47.819633446636566
250,normal,0,0,58.47283679655393
250,normal,0,0,39.019509952100584
250,normal,0,0,59.72382850742593
250,normal,0,0,51.29726790884767
250,normal,0,0,50.75876186923202
250,normal,0,0,56.52426924952872
250,normal,0,0,57.665313079122946
250,normal,0,0,50.06110023907839
250,normal,0,0,47.33159774376697
250,normal,0,0,47.56038660698534
250,normal,0,0,42.429845847587366
250,normal,0,0,37.74438301284324
250,normal,0,0,47.04899834674622
250,normal,0,0,45.63393635840959
250,normal,0,0,49.37588584961757
250,normal,0,0,60.432419659913144
250,normal,0,0,45.45635382824843
250,normal,0,0,40.43603951232034
250,normal,0,0,45.49907665003229
250,normal,0,0,36.468387202099265
250,normal,0,0,44.83265665208784
250,normal,0,0,45.74136794438208
250,normal,0,0,40.03816939529158
250,normal,0,0,56.31285770986999
250,normal,0,0,36.669093276514545
250,normal,0,0,45.079747915321576
250,normal,0,0,49.685256998471985
250,normal,0,0,37.707007258259964
250,normal,0,0,48.467188974763104
250,normal,0,0,48.86962599385562
250,normal,0,0,38.577995083167536
250,normal,0,0,41.59482634725862
250,normal,0,0,46.40413687620764
250,normal,0,0,44.454818694610005
250,normal,0,0,47.141593507725894
250,normal,0,0,59.111134143395674
250,normal,0,0,52.3748815523917
